CircRNA,MDA-MB-231,MCF-7,averange,Chromosome,CircStart,CircEnd,Strand,Spliced seq length,Best transcript,Gene Symbol
hsa-circRNA8810-62,5591.972,7695.783,,chr1,160275477,160275563,-,86,ENST00000368069,COPA
hsa-circRNA345-10,69.45415,933.7725,,chr1,70897765,70904509,+,467,ENST00000411986,CTH
hsa-circRNA8849-32,5.690702,4.758907,,chr1,173952078,173952555,-,477,ENST00000367696,RC3H1
hsa_circ_0014087,1660.853,3344.726,,chr1,150997990,151001420,+,413,ENST00000450884,PRUNE
hsa-circRNA296-12,209.8837,501.8365,,chr1,53320136,53333449,+,700,ENST00000371532,ZYG11A
hsa_circ_0016519,48.66805,4.910475,,chr1,220752695,220754460,+,258,ENST00000366918,MARK1
hsa_circ_0114615,12.52799,6.450686,,chr1,98348819,98440918,-,92099,ENST00000370192,DPYD
hsa_circ_0011653,965.3844,800.5489,,chr1,36505390,36506042,+,330,ENST00000373191,AGO3
hsa_circ_0015039,258.4625,229.5226,,chr1,162469744,162470894,+,485,ENST00000545294,UHMK1
hsa-circRNA72-115,285.253,57.77706,,chr1,12317991,12322137,+,653,ENST00000356315,VPS13D
hsa_circ_0010015,78.06987,274.6762,,chr1,12627938,12632881,-,641,ENST00000376223,DHRS3
hsa_circ_0010755,4112.157,7491.016,,chr1,22200898,22222459,-,3457,ENST00000374695,HSPG2
hsa_circ_0113414,1807.861952,806.9031639,,chr1,44118807,44126083,+,468,ENST00000372396,KDM4A
hsa_circ_0016331,1762.042,1773.604,,chr1,210003452,210016040,+,1674,ENST00000491415,DIEXF
hsa_circ_0014560,476.4422,669.7064,,chr1,155316173,155340774,-,1558,ENST00000368346,ASH1L
hsa_circ_0113022,2100.192847,1656.393969,,chr1,31413997,31426828,-,913,ENST00000424085,PUM1
hsa_circ_0110396,8086.209,5311.829,,chr1,110116358,110121983,+,343,ENST00000369851,GNAI3
hsa_circ_0010560,3800.34,6558.286,,chr1,22154522,22188336,-,7664,ENST00000374695,HSPG2
hsa-circRNA8333-6,2759.266,2824.604,,chr1,19559117,19559629,-,350,ENST00000477853,EMC1
hsa_circ_0011146,38.36531,69.15,,chr1,28834639,28837404,+,2096,ENST00000413987,-
hsa_circ_0015110,578.7752,334.2915,,chr1,167893104,167893775,-,671,ENST00000367846,MPC2
hsa_circ_0113425,1152.268191,658.063778,,chr1,44804716,44818597,-,354,ENST00000372257,ERI3
hsa_circ_0113087,5193.494,9023.756,,chr1,33998649,34003209,-,540,ENST00000241312,CSMD2
hsa_circ_0013672,207.0433,156.8901,,chr1,116573986,116609329,+,826,ENST00000369503,SLC22A15
hsa_circ_0011791,3510.452,861.3881,,chr1,39752957,39776672,+,1762,ENST00000545844,MACF1
hsa_circ_0012074,12699.77,12987.56,,chr1,44035260,44058272,+,1434,ENST00000359947,PTPRF
hsa_circ_0015918,4429.299,5059.066,,chr1,201816406,201838846,+,1970,ENST00000361565,IPO9
hsa_circ_0012873,1042.538,1248.202,,chr1,65325787,65332891,-,687,ENST00000342505,JAK1
hsa_circ_0011130,30.82089,53.5485,,chr1,28598184,28609002,+,2976,ENST00000253063,SESN2
hsa_circ_0017249,3132.403537,259.6863614,,chr1,243776972,243778463,-,135,ENST00000336199,AKT3
hsa_circ_0110504,747.9243,1171.917,,chr1,114133105,114137182,+,255,ENST00000369617,MAGI3
hsa-circRNA8433-9,50.8594,17.98752,,chr1,36226696,36230315,-,871,ENST00000251195,CLSPN
hsa-circRNA734-9,211.7539,228.3447,,chr1,212480124,212506940,+,417,ENST00000479259,PPP2R5A
hsa_circ_0009491,677.8203,922.8594,,chr1,6291961,6295034,-,477,ENST00000343813,ICMT
hsa_circ_0014972,4154.067,5780.323,,chr1,161127043,161128646,+,677,ENST00000368003,UFC1
hsa_circ_0009247,583.0993,392.794,,chr1,1192371,1192510,-,139,ENST00000450390,UBE2J2
hsa_circ_0009404,579.2239,1918.112,,chr1,3425638,3431236,-,798,ENST00000294599,MEGF6
hsa-circRNA8406-7,2060.403,2181.031,,chr1,32163506,32167828,-,691,ENST00000373672,COL16A1
hsa_circ_0113299,1162.922567,214.8722263,,chr1,39844874,39845116,+,242,ENST00000545844,MACF1
hsa_circ_0016117,201.4144,145.0535,,chr1,203821268,203823256,+,1988,ENST00000367214,ZC3H11A
hsa_circ_0011638,1099.419,1156.045,,chr1,36469941,36501868,+,1184,ENST00000373191,AGO3
hsa_circ_0113228,21.70423636,57.17178273,,chr1,36888368,36889067,-,233,ENST00000235532,OSCP1
hsa_circ_0015534,359.7311,764.2153,,chr1,181479612,181479718,+,106,ENST00000524607,CACNA1E
hsa_circ_0015189,688.1433,1502.783,,chr1,169985602,169993737,-,342,ENST00000361580,KIFAP3
hsa-circRNA199-59,26.41548247,54.936875,,chr1,35847146,35852879,+,756,ENST00000314607,ZMYM4
hsa_circ_0012824,94.26336,94.30317,,chr1,63269389,63307218,+,1277,ENST00000371120,ATG4C
hsa_circ_0113191,942.4780391,1069.059107,,chr1,36282482,36288583,+,287,ENST00000373210,AGO4
hsa_circ_0010528,301.5008,310.4117,,chr1,22013683,22048257,-,1410,ENST00000400301,USP48
hsa_circ_0015937,5319.861,5858.242,,chr1,201826223,201843500,+,1711,ENST00000361565,IPO9
hsa_circ_0111424,157.3529,111.226,,chr1,182824906,182825032,-,126,ENST00000367549,DHX9
hsa_circ_0017250,3185.711017,79.81159637,,chr1,243776972,243828185,-,524,ENST00000336199,AKT3
hsa_circ_0010822,2225.314,4361.105,,chr1,23383976,23395174,+,332,ENST00000356634,KDM1A
hsa_circ_0010775,6246.217,5918.563,,chr1,22211812,22213827,-,252,ENST00000374695,HSPG2
hsa_circ_0014577,274.2321,294.4583,,chr1,155340294,155365344,-,678,ENST00000368346,ASH1L
hsa_circ_0000114,42.38957,69.69635,,chr1,114568702,114568838,+,136,---,-
hsa_circ_0112322,1081.946,893.4974,,chr1,229588271,229601266,-,900,ENST00000261396,NUP133
hsa_circ_0114059,1324.87,1105.167,,chr1,71529611,71531435,-,1824,ENST00000254821,ZRANB2
hsa_circ_0110941,2303.993,1827.739,,chr1,1573123,1636094,-,62971,ENST00000513088,CDK11B
hsa_circ_0110737,2366.133,1342.707,,chr1,150305154,150307712,+,612,ENST00000324862,PRPF3
hsa-circRNA717-8,22542.33,34466.72,,chr1,207498966,207500182,+,186,ENST00000367064,CD55
hsa_circ_0009185,5239.272,8345.165,,chr1,865534,866469,+,233,ENST00000420190,SAMD11
hsa_circ_0010510,3632.917,2363.869,,chr1,21599191,21606183,-,713,ENST00000415912,ECE1
hsa_circ_0009302,593.0975,697.8547,,chr1,1599765,1599911,-,146,ENST00000378662,SLC35E2B
hsa_circ_0014933,4547.82,7522.795,,chr1,160302237,160302347,-,110,ENST00000368069,COPA
hsa-circRNA8518-7,3443.341,3005.515,,chr1,54272097,54273464,-,229,ENST00000371429,NDC1
hsa_circ_0113440,88.10055771,92.7501453,,chr1,45504607,45509067,-,462,ENST00000359600,ZSWIM5
hsa_circ_0014558,575.0818,667.0267,,chr1,155316173,155317695,-,336,ENST00000368346,ASH1L
hsa_circ_0112445,1871.763,4441.86,,chr1,23395031,23403853,+,688,ENST00000356634,KDM1A
hsa_circ_0113736,5.889304,4.840302,,chr1,61125032,61125529,+,497,---,-
hsa-circRNA8809-2,215.5178,278.8343,,chr1,160209486,160213824,-,749,ENST00000368073,DCAF8
hsa_circ_0114537,963.4806,278.0348,,chr1,94334645,94341339,-,6694,ENST00000436063,DNTTIP2
hsa_circ_0016491,197.6942,185.7148,,chr1,220240643,220263191,-,646,ENST00000322067,BPNT1
hsa-circRNA8518-40,3816.518,3939.421,,chr1,54269600,54275419,-,363,ENST00000371429,NDC1
hsa_circ_0112265,3374.855,3368.583,,chr1,227257477,227288940,-,903,ENST00000366767,CDC42BPA
hsa-circRNA8729-23,8076.431,6990.873,,chr1,151413403,151413562,-,159,ENST00000271715,POGZ
hsa_circ_0016791,741.62,660.6601,,chr1,229577043,229635565,-,3565,ENST00000261396,NUP133
hsa_circ_0114283,4760.31,270.1781,,chr1,84383286,84403699,-,860,ENST00000472688,TTLL7
hsa-circRNA166-17,2925.15,705.754,,chr1,28806962,28815737,+,210,ENST00000373839,PHACTR4
hsa_circ_0010107,1258.855,1747.633,,chr1,16202696,16203173,+,477,ENST00000375759,SPEN
hsa_circ_0013054,1910.597,1113.771,,chr1,84964005,84967653,-,371,ENST00000487806,GNG5
hsa_circ_0010050,1248.61,1255.165,,chr1,15953163,15978390,+,1045,ENST00000480945,DDI2
hsa_circ_0017034,32.8720647,116.8484326,,chr1,234584225,234601454,-,713,ENST00000040877,TARBP1
hsa-circRNA223-11,3735.445,1797.347,,chr1,40525005,40536184,+,1210,ENST00000372802,CAP1
hsa_circ_0015552,2081.618,1247.935,,chr1,182812428,182827775,+,926,ENST00000367549,DHX9
hsa_circ_0010194,2242.441,3027.032,,chr1,17739568,17748787,-,658,ENST00000375436,RCC2
hsa_circ_0015711,579.0287,321.7051,,chr1,186291449,186307375,-,2310,ENST00000367478,TPR
hsa_circ_0009323,125.6614,123.5651,,chr1,1686812,1687782,-,189,ENST00000341426,NADK
hsa_circ_0013958,725.9364,993.6092,,chr1,147131074,147131890,-,340,ENST00000369238,ACP6
hsa_circ_0009922,1149.52,898.5966,,chr1,12059044,12069783,+,1496,ENST00000444836,MFN2
hsa-circRNA719-1,56.08662,93.4673,,chr1,207700097,207743291,+,2215,ENST00000367053,CR1
hsa_circ_0113507,1703.314613,2799.271492,,chr1,50941135,51032903,-,756,ENST00000396153,FAF1
hsa_circ_0004280,2570.875,1945.27,,chr1,47753222,47765824,-,680,ENST00000337817,STIL
hsa_circ_0013464,140.1337,365.6815,,chr1,110230417,110236367,+,1185,ENST00000309851,GSTM1
hsa-circRNA182-7,677.4906495,667.4387195,,chr1,32620188,32623962,+,422,ENST00000373625,KPNA6
hsa-circRNA620-32,6228.337,5022.966,,chr1,171504566,171506612,+,631,ENST00000426496,PRRC2C
hsa_circ_0015912,4182.23,4926.243,,chr1,201798287,201816766,+,362,ENST00000361565,IPO9
hsa_circ_0007364,1001.91,1425.529,,chr1,32381495,32385259,-,782,ENST00000344035,PTP4A2
hsa_circ_0112118,75.24259,191.9338,,chr1,223163966,223165452,+,350,ENST00000284476,DISP1
hsa_circ_0014860,1897.333,1799.946,,chr1,159901601,159904360,-,547,ENST00000476102,IGSF9
hsa_circ_0114443,6.07354,4.966262,,chr1,91808986,91818709,-,606,ENST00000370425,HFM1
hsa-circRNA57-1,4163.964,6738.201,,chr1,10678388,10683178,+,189,ENST00000356607,PEX14
hsa_circ_0110659,128.7382,72.55544,,chr1,14042035,14059377,+,296,ENST00000376048,PRDM2
hsa-circRNA8423-7,633.2898,643.8363,,chr1,33407852,33409760,-,349,ENST00000373456,RNF19B
hsa_circ_0012713,1846.865,2285.362,,chr1,55638049,55638193,-,144,ENST00000294383,USP24
hsa_circ_0009747,380.4328,597.7833,,chr1,11090232,11106790,-,1063,ENST00000400897,MASP2
hsa_circ_0017170,6.442414137,45.82117539,,chr1,237550580,237972335,+,13857,ENST00000366574,RYR2
hsa-circRNA8268-54,90.13456,192.0654,,chr1,5964676,5969273,-,699,ENST00000489180,NPHP4
hsa_circ_0113381,7747.268502,11710.63115,,chr1,42744018,42744343,-,325,ENST00000372572,FOXJ3
hsa_circ_0111923,59.58382,14.91247,,chr1,213251037,213316144,+,65107,ENST00000543470,RPS6KC1
hsa_circ_0014888,3207.895,4467.056,,chr1,160262955,160264383,-,257,ENST00000368069,COPA
hsa-circRNA8353-28,49190.4,42684.28,,chr1,22180685,22181258,-,306,ENST00000374695,HSPG2
hsa_circ_0014279,31693.46,34243.66,,chr1,153638138,153640133,-,169,ENST00000361891,ILF2
hsa_circ_0113301,1142.514522,481.9515949,,chr1,39847650,39853067,+,5417,ENST00000545844,MACF1
hsa_circ_0015401,590.274,255.8664,,chr1,178777179,178889237,+,5282,ENST00000495034,RALGPS2
hsa_circ_0002306,998.0694,1540.655,,chr1,33058531,33060824,+,994,ENST00000480336,RP1-27O5.3
hsa-circRNA118-2,1222.385,865.1849,,chr1,24075510,24079008,+,1462,ENST00000418390,TCEB3
hsa-circRNA655-6,2187.673,1290.76,,chr1,183077410,183102685,+,3126,ENST00000258341,LAMC1
hsa-circRNA604,195.6922,76.65812,,chr1,163295964,163297251,+,1287,ENST00000534289,NUF2
hsa_circ_0015152,433.064,527.0055,,chr1,169075946,169101960,+,2200,ENST00000367816,ATP1B1
hsa_circ_0113450,559.8873799,567.4789754,,chr1,45798768,45798992,-,224,ENST00000448481,MUTYH
hsa_circ_0009652,8557.638,7712.01,,chr1,9740902,9747627,-,6725,ENST00000536656,PIK3CD
hsa_circ_0015823,129.5163,47.1829,,chr1,200539038,200549511,-,326,ENST00000367350,KIF14
hsa_circ_0017078,214.0657943,466.4982472,,chr1,235850248,235860572,-,426,ENST00000389794,LYST
hsa_circ_0111378,3345.999,2397.458,,chr1,180053152,180056852,+,301,ENST00000367607,CEP350
hsa_circ_0012483,35.43493,67.90388,,chr1,52373627,52385786,-,12159,ENST00000371655,RAB3B
hsa_circ_0017113,58.56128028,182.9405523,,chr1,236205209,236212289,-,910,ENST00000366595,NID1
hsa_circ_0113265,506.3847552,123.4805977,,chr1,39750004,39775368,+,1881,ENST00000545844,MACF1
hsa_circ_0111086,1972.965,1591.591,,chr1,168165784,168169338,+,3554,ENST00000367833,TIPRL
hsa_circ_0110296,8.271828,43.93221,,chr1,107789918,107803403,+,13485,ENST00000370074,NTNG1
hsa-circRNA8346-36,8846.834,9637.664,,chr1,21205815,21276601,-,1905,ENST00000602326,EIF4G3
hsa_circ_0013865,2285.212,1310.844,,chr1,145273184,145304652,+,23294,ENST00000468030,RP11-458D21.5
hsa_circ_0114641,14.7964,46.89762,,chr1,99174863,99175161,-,298,ENST00000370189,SNX7
hsa_circ_0112116,259.5768,894.7328,,chr1,223101771,223116674,+,667,ENST00000360254,DISP1
hsa_circ_0015329,283.8414,317.6628,,chr1,174200282,174210795,+,386,ENST00000357444,RABGAP1L
hsa_circ_0015971,17.16124,230.9606,,chr1,201981767,201986315,+,2502,ENST00000359651,ELF3
hsa-circRNA8790-8,4172.835,6303.712,,chr1,156444899,156453222,-,1120,ENST00000464356,MEF2D
hsa_circ_0017248,1193.685894,329.2780917,,chr1,243736227,244006584,-,931,ENST00000366540,AKT3
hsa_circ_0114604,561.9354,75.8212,,chr1,98144650,98187227,-,529,ENST00000370192,DPYD
hsa_circ_0012105,2257.863,691.8953,,chr1,44280562,44323980,+,20295,ENST00000489897,ST3GAL3
hsa_circ_0111096,272.4197,174.5973,,chr1,169199955,169268001,-,550,ENST00000472647,NME7
hsa_circ_0012945,338.5074,2906.091,,chr1,70881638,70900860,+,884,ENST00000411986,CTH
hsa_circ_0114196,1174.581,613.73,,chr1,78200031,78205102,-,326,ENST00000370794,USP33
hsa_circ_0014430,8472.433,8339.194,,chr1,154524879,154527261,-,338,ENST00000292211,UBE2Q1
hsa-circRNA377-12,2570.097,1986.073,,chr1,89225904,89279416,+,1930,ENST00000370521,PKN2
hsa_circ_0113837,458.9687,297.8114,,chr1,63018402,63027374,-,654,ENST00000251157,DOCK7
hsa_circ_0004694,272.6795,408.3206,,chr1,145015859,145021167,-,208,ENST00000313382,PDE4DIP
hsa_circ_0110670,505.0045,738.9709,,chr1,144892500,144906196,-,468,ENST00000313382,PDE4DIP
hsa_circ_0011591,95.58025,77.23148,,chr1,36213507,36215412,-,599,ENST00000251195,CLSPN
hsa_circ_0113760,4058.383,15268.52,,chr1,61743191,61818239,+,259,ENST00000371191,NFIA
hsa_circ_0011689,1080.225,1394.016,,chr1,36814300,36824423,-,627,ENST00000359297,STK40
hsa-circRNA71-5,481.0494,648.3231,,chr1,12248852,12254675,+,822,ENST00000376259,TNFRSF1B
hsa_circ_0010890,69.93908,116.6894,,chr1,24105927,24114722,+,1294,ENST00000246151,PITHD1
hsa_circ_0014835,3563.913,2996.172,,chr1,158058116,158059418,+,255,ENST00000360089,KIRREL
hsa_circ_0112368,26.19734,25.18459,,chr1,231064682,231076302,-,785,ENST00000366661,TTC13
hsa_circ_0017049,607.4839074,317.9814961,,chr1,235416044,235420540,-,237,ENST00000349213,ARID4B
hsa_circ_0010316,2357.174,1851.999,,chr1,19474486,19480433,-,1171,ENST00000375254,UBR4
hsa_circ_0006267,969.5018,317.573,,chr1,198247090,198266370,+,426,ENST00000367385,NEK7
hsa_circ_0017318,1356.134,837.2109,,chr1,247016392,247050659,-,2238,ENST00000470300,AHCTF1
hsa_circ_0111325,1935.691,1389.325,,chr1,179012849,179035994,+,1131,ENST00000263733,FAM20B
hsa_circ_0016583,3164.799,1863.514,,chr1,224553580,224553693,+,113,ENST00000465271,CNIH4
hsa_circ_0010029,219.5463,126.339,,chr1,14104912,14109326,+,4414,ENST00000235372,PRDM2
hsa_circ_0016164,200.302,326.6259,,chr1,204499811,204542871,+,25381,ENST00000507825,MDM4
hsa_circ_0110428,1657.351,1046.33,,chr1,112246964,112249399,+,259,ENST00000494982,RAP1A
hsa-circRNA8247-2,26.00508,4.827204,,chr1,1289227,1289612,-,198,ENST00000309212,MXRA8
hsa_circ_0111243,5.656634,14.42579,,chr1,175331798,175336433,-,891,ENST00000367674,TNR
hsa_circ_0012068,536.3772,430.7026,,chr1,44019162,44072129,+,3611,ENST00000359947,PTPRF
hsa-circRNA28-3,124.4688,574.1974,,chr1,3782375,3789136,+,541,ENST00000378209,DFFB
hsa_circ_0005884,1349.945,1037.443,,chr1,70761812,70771973,-,344,ENST00000370944,ANKRD13C
hsa-circRNA400-3,292.2693,156.5121,,chr1,97270355,97278662,+,562,ENST00000482253,PTBP2
hsa_circ_0110615,375.9578,352.6167,,chr1,118454615,118463047,-,626,ENST00000369443,GDAP2
hsa-circRNA8776-13,2429.693,2653.606,,chr1,155234258,155234565,-,213,ENST00000361168,CLK2
hsa_circ_0012513,33.98283,56.68161,,chr1,52838500,52847433,-,925,ENST00000371568,ORC1
hsa-circRNA8980-17,1734.472,1810.388,,chr1,229619800,229625849,-,546,ENST00000261396,NUP133
hsa-circRNA8607,3816.971,795.0885,,chr1,94338674,94341339,-,235,ENST00000436063,DNTTIP2
hsa_circ_0114478,106.1739,43.24141,,chr1,92733469,92763086,-,1059,ENST00000370360,GLMN
hsa_circ_0009712,6364.527,6604.857,,chr1,10412688,10435431,+,1459,ENST00000263934,KIF1B
hsa_circ_0013128,1733.796,1266.15,,chr1,91973410,91973954,+,220,ENST00000234626,CDC7
hsa_circ_0112319,66.87885,51.40659,,chr1,229584872,229596516,-,560,ENST00000261396,NUP133
hsa_circ_0017265,705.1476112,398.3977372,,chr1,244586136,244587689,-,257,ENST00000366535,ADSS
hsa_circ_0113589,230.5143228,383.9833541,,chr1,52937623,52975384,-,1996,ENST00000257177,ZCCHC11
hsa_circ_0012310,115.2407,182.2151,,chr1,46654352,46658262,-,1361,ENST00000396420,POMGNT1
hsa_circ_0111360,1038.512,1093.509,,chr1,179955303,179956421,+,133,ENST00000367607,CEP350
hsa_circ_0011427,1696.396,2864.567,,chr1,33117514,33123173,+,294,ENST00000373493,RBBP4
hsa_circ_0111469,115.0736,63.04388,,chr1,185129964,185144245,+,975,ENST00000367501,SWT1
hsa_circ_0015416,748.9309,733.1926,,chr1,179023663,179023773,+,110,ENST00000263733,FAM20B
hsa_circ_0113882,79.79621,97.95112,,chr1,65016276,65047987,+,212,ENST00000371073,CACHD1
hsa_circ_0015759,178.4144,117.3165,,chr1,197053256,197063310,-,1644,ENST00000294732,ASPM
hsa_circ_0015005,255.9528,357.5508,,chr1,161293403,161334535,+,2802,ENST00000367975,SDHC
hsa_circ_0013088,35963.83,29483.28,,chr1,87368963,87369131,-,168,ENST00000331835,15-Sep
hsa_circ_0110592,8580.967,11072.83,,chr1,11771907,11780302,+,8395,ENST00000294485,DRAXIN
hsa_circ_0012899,107.397,250.9578,,chr1,67137626,67145435,+,306,ENST00000237247,SGIP1
hsa_circ_0011414,2461.632,1903.761,,chr1,32849430,32852496,-,336,ENST00000455895,BSDC1
hsa_circ_0015947,4414.438,5376.444,,chr1,201837775,201844064,+,1083,ENST00000361565,IPO9
hsa_circ_0013613,39.58875,22.60811,,chr1,114442030,114443022,-,992,ENST00000369566,AP4B1
hsa_circ_0011440,1599.907,3441.354,,chr1,33240839,33276367,-,2125,ENST00000373477,YARS
hsa_circ_0110251,218.6344,663.3963,,chr1,103487262,103496800,-,657,ENST00000370096,COL11A1
hsa_circ_0014399,9560.605,9665.2,,chr1,154227627,154232505,+,669,ENST00000343815,UBAP2L
hsa_circ_0017300,6192.803,3224.982,,chr1,246078831,246493839,-,477,ENST00000541742,SMYD3
hsa_circ_0010405,3263.747,2944.033,,chr1,19746154,19746244,-,90,ENST00000401084,CAPZB
hsa_circ_0010320,9107.999,6584.611,,chr1,19479794,19500115,-,3850,ENST00000375254,UBR4
hsa_circ_0004412,21855.15,17270.8,,chr1,171537385,171544267,+,397,ENST00000426496,PRRC2C
hsa_circ_0015522,110.8094,106.3838,,chr1,180942175,180962561,-,3998,ENST00000258301,STX6
hsa_circ_0112135,386.5231,171.1192,,chr1,224424207,224491559,-,1541,ENST00000469968,NVL
hsa_circ_0011963,1047.363,1228.599,,chr1,42865074,42875858,+,522,ENST00000431473,RIMKLA
hsa_circ_0006760,1389.934,2746.088,,chr1,150997086,150998149,+,344,ENST00000467771,PRUNE
hsa-circRNA8506-21,2184.07,1877.044,,chr1,52260494,52285545,-,1419,ENST00000354831,NRD1
hsa_circ_0009518,118.2027,89.38219,,chr1,6581406,6610675,-,6220,ENST00000377705,NOL9
hsa_circ_0111560,2979.738,2715.698,,chr1,192998308,192998439,-,131,ENST00000367455,UCHL5
hsa_circ_0017058,1597.919693,625.9626586,,chr1,235600636,235600789,+,153,ENST00000366601,TBCE
hsa_circ_0012191,5103.957,2144.68,,chr1,45392299,45407337,-,272,ENST00000360403,EIF2B3
hsa_circ_0016828,161.7594,219.1301,,chr1,229661682,229683448,-,1188,ENST00000344517,ABCB10
hsa_circ_0013458,302.7644,175.7298,,chr1,110116517,110129504,+,713,ENST00000369851,GNAI3
hsa_circ_0012875,3153.057,3949.614,,chr1,65334993,65344831,-,442,ENST00000342505,JAK1
hsa_circ_0114632,497.3359,24.64082,,chr1,99150440,99167459,+,945,ENST00000370189,SNX7
hsa_circ_0112152,1272.475,705.976,,chr1,224592131,224606118,-,437,ENST00000414423,WDR26
hsa-circRNA8973-15,2408.394,1395.587,,chr1,227192694,227213853,-,543,ENST00000366767,CDC42BPA
hsa_circ_0012573,38.629,97.17102,,chr1,53329652,53352725,+,955,ENST00000371532,ZYG11A
hsa_circ_0113361,6694.39189,7010.236344,,chr1,41578954,41651922,-,862,ENST00000337495,SCMH1
hsa_circ_0016502,2141.842,384.3331,,chr1,220330611,220332763,-,330,ENST00000358951,RAB3GAP2
hsa-circRNA442-4,1626.843,1669.576,,chr1,110582016,110586478,+,826,ENST00000369796,STRIP1
hsa_circ_0113282,353.4801099,112.4159451,,chr1,39788279,39818903,+,1194,ENST00000545844,MACF1
hsa_circ_0005986,110.2998,16.93196,,chr1,14057494,14068652,+,375,ENST00000484063,PRDM2
hsa_circ_0005223,309.9341,75.21653,,chr1,233334684,233344435,-,375,ENST00000258229,PCNXL2
hsa_circ_0014351,936.5088,1548.47,,chr1,153957196,153958806,-,279,ENST00000368575,RAB13
hsa-circRNA8880-6,241.6223,295.2111,,chr1,196285021,196367801,-,1226,ENST00000367433,KCNT2
hsa_circ_0009900,3507.185,4977.646,,chr1,12027043,12033054,+,378,ENST00000376369,PLOD1
hsa-circRNA8468-5,4696.688,3365.32,,chr1,43227993,43228146,-,153,ENST00000397054,LEPRE1
hsa_circ_0113310,4840.845449,1793.26109,,chr1,39898206,39914435,+,2930,ENST00000545844,MACF1
hsa_circ_0009789,1556.084,1826.742,,chr1,11177060,11182183,-,354,ENST00000376838,MTOR
hsa_circ_0017148,926.9738402,1410.946432,,chr1,236973802,237016388,+,1544,ENST00000366577,MTR
hsa_circ_0016221,1764.381,3209.989,,chr1,205768084,205768229,-,145,ENST00000367137,SLC41A1
hsa_circ_0013209,932.4948,1157.363,,chr1,93987638,94014983,+,1511,ENST00000260506,FNBP1L
hsa_circ_0111064,29.20609,69.94925,,chr1,167356417,167358998,+,241,ENST00000560232,POU2F1
hsa_circ_0012149,476.856,269.6922,,chr1,44785299,44818597,-,471,ENST00000372257,ERI3
hsa_circ_0110246,31.10503,67.02846,,chr1,10342379,10351219,+,292,ENST00000377086,KIF1B
hsa-circRNA8297-23,2644.73,2749.93,,chr1,11300359,11303357,-,561,ENST00000361445,MTOR
hsa_circ_0012964,927.8475,665.6692,,chr1,76211490,76216231,+,346,ENST00000370841,ACADM
